City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,liberal,37.0431,-100.921,14.58,16,0,4.63,US,1680314994
315,demikhovo,55.7968,38.884,0.54,99,100,2.34,RU,1680314994
316,yokadouma,3.5167,15.05,20.14,84,99,0.53,CM,1680314994
317,takoradi,4.8845,-1.7554,24.73,78,100,1.15,GH,1680314995
318,port hawkesbury,45.6169,-61.3485,-0.46,97,20,2.24,CA,1680314995
319,camacha,33.0833,-16.3333,16.68,82,20,4.12,PT,1680314996
320,qom,34.6401,50.8764,12.26,35,0,5.69,IR,1680314996
321,broken hill,-31.95,141.4333,18.32,48,0,6.31,AU,1680314777
322,jacareacanga,-6.2222,-57.7528,23.09,97,100,0.36,BR,1680314996
323,taoudenni,22.6783,-3.9836,25.23,9,0,6.03,ML,1680314997
324,uinskoye,56.8817,56.5813,4.42,92,100,4.01,RU,1680314997
325,chara,56.9064,118.2631,-8.91,83,100,2.8,RU,1680314997
326,lokosovo,61.1333,74.8167,-4.06,81,100,6.24,RU,1680314997
327,pizhanka,57.4604,48.542,0.62,89,10,5.47,RU,1680314998
328,lagoa vermelha,-28.2086,-51.5258,17.5,98,67,1.76,BR,1680314998
329,mlonggo,-6.5333,110.7,25.97,82,100,0.8,ID,1680314998
330,ulladulla,-35.35,150.4667,20.98,80,100,4.19,AU,1680314998
331,sanchor,24.7553,71.7722,22.9,54,0,2.81,IN,1680314999
332,mar del plata,-38.0023,-57.5575,15.01,66,100,5.66,AR,1680314999
333,torbay,47.6666,-52.7314,-2.46,87,100,1.79,CA,1680315000
334,alta floresta,-9.8756,-56.0861,22.0,95,85,0.2,BR,1680315000
335,xichang,27.8964,102.2634,16.28,67,27,1.15,CN,1680315000
336,luderitz,-26.6481,15.1594,15.7,85,1,0.67,NA,1680315001
337,bure,10.7,37.0667,15.39,35,28,0.79,ET,1680315001
338,kudahuvadhoo,2.6708,72.8944,27.81,73,19,2.67,MV,1680315003
339,tigil,57.8,158.6667,0.15,97,100,4.99,RU,1680315003
340,talcahuano,-36.7167,-73.1167,14.82,63,0,2.06,CL,1680315004
341,wilmington,34.2257,-77.9447,19.94,78,91,2.68,US,1680315004
342,kavaratti,10.5669,72.642,27.14,69,11,4.16,IN,1680315006
343,mexico,15.0646,120.7198,32.78,47,45,2.34,PH,1680315006
344,luknovo,56.1983,42.04,0.74,89,76,3.25,RU,1680315007
345,druzhba,52.0428,33.9453,4.56,96,100,4.45,UA,1680315008
346,taywarah,33.35,64.4167,4.62,47,69,1.59,AF,1680315010
347,egvekinot,66.3167,-179.1667,-12.98,94,100,2.88,RU,1680315011
348,norman wells,65.282,-126.8329,-10.52,85,100,3.84,CA,1680315012
349,tecoanapa,16.5167,-98.75,26.94,68,100,1.72,MX,1680315012
350,sept-iles,50.2001,-66.3821,-2.19,83,78,0.45,CA,1680315013
351,obo,5.3998,26.4869,19.68,91,100,1.77,CF,1680315014
352,maldonado,-34.6667,-54.9167,17.35,60,86,8.52,UY,1680315014
353,labuhan,-6.8844,112.2051,25.29,83,100,1.93,ID,1680315015
354,kharela,25.55,79.8167,24.21,56,59,2.92,IN,1680315015
